player,style,skill,footwork,results,time,x,y,recorder,unicode,match_year,match,match_winner,match_result,opponent,games,file_order,record_year
Kao_Cheng_jui,forehand,serve,no move,won,00:00:02:16,151000,323000.0,主文,14,2024,ITTFWorlds MT R16,Kao_Cheng_jui,3-0,Mattias_Falck,1,1,112
Kao_Cheng_jui,forehand,serve,no move,continue,00:00:07:23,164000,301000.0,主文,14,2024,ITTFWorlds MT R16,Kao_Cheng_jui,3-0,Mattias_Falck,1,2,112
Mattias_Falck,forehand,push,step,continue,00:00:07:83,219000,160000.0,主文,14,2024,ITTFWorlds MT R16,Kao_Cheng_jui,3-0,Kao_Cheng_jui,1,3,112
Kao_Cheng_jui,forehand,drive,step,continue,00:00:08:46,146000,339000.0,主文,14,2024,ITTFWorlds MT R16,Kao_Cheng_jui,3-0,Mattias_Falck,1,4,112
Mattias_Falck,forehand,block,step,continue,00:00:09:13,117000,117000.0,主文,14,2024,ITTFWorlds MT R16,Kao_Cheng_jui,3-0,Kao_Cheng_jui,1,5,112
Kao_Cheng_jui,backhand,drive,step,continue,00:00:09:69,210000,362000.0,主文,14,2024,ITTFWorlds MT R16,Kao_Cheng_jui,3-0,Mattias_Falck,1,6,112
Mattias_Falck,backhand,block,step,continue,00:00:10:13,131000,122000.0,主文,14,2024,ITTFWorlds MT R16,Kao_Cheng_jui,3-0,Kao_Cheng_jui,1,7,112
Kao_Cheng_jui,backhand,drive,step,continue,00:00:10:59,194000,342000.0,主文,14,2024,ITTFWorlds MT R16,Kao_Cheng_jui,3-0,Mattias_Falck,1,8,112
Mattias_Falck,backhand,drive,step,won,00:00:10:96,245000,156000.0,主文,14,2024,ITTFWorlds MT R16,Kao_Cheng_jui,3-0,Kao_Cheng_jui,1,9,112
Mattias_Falck,forehand,serve,no move,continue,00:00:16:33,140000,181000.0,主文,14,2024,ITTFWorlds MT R16,Kao_Cheng_jui,3-0,Kao_Cheng_jui,1,10,112
Kao_Cheng_jui,forehand,push,step,continue,00:00:16:73,117000,312000.0,主文,14,2024,ITTFWorlds MT R16,Kao_Cheng_jui,3-0,Mattias_Falck,1,11,112
Mattias_Falck,forehand,push,step,continue,00:00:17:39,120000,156000.0,主文,14,2024,ITTFWorlds MT R16,Kao_Cheng_jui,3-0,Kao_Cheng_jui,1,12,112
Kao_Cheng_jui,backhand,drive,step,continue,00:00:17:89,214000,314000.0,主文,14,2024,ITTFWorlds MT R16,Kao_Cheng_jui,3-0,Mattias_Falck,1,13,112
